id,name,passport_no,birth_date,driving_permit_since
474,Митрофан Грибов,319447779,1994-08-15,1997-12-15
475,Алевтина Смирнова,552548995,1995-01-26,1997-07-11
476,Авдей Иванов,748844564,1985-09-08,1986-03-31
477,Пелагея Иванова,128368525,1997-06-22,1997-09-05
478,Аристарх Кузнецов,668511966,1987-10-26,1988-07-15
479,Аристарх Минин,339573378,1996-12-04,1997-08-26
480,Христофор Грибов,954360960,1986-02-25,1988-10-28
481,Добрыня Попов,758529008,1986-08-14,1998-02-28
482,Прасковья Агапова,369205433,1993-06-01,1999-07-20
483,Феврония Соколова,435916198,1992-07-03,1995-02-18
484,Варлам Иванов,792663219,1991-05-02,1994-05-05
485,Мирон Агапов,365199814,1985-07-17,1988-04-27
486,Ираида Грибова,286363677,1984-01-07,1998-04-27
487,Клавдия Минина,626732797,1987-05-27,1989-12-13
488,Ульяна Попова,271905551,1982-11-10,1985-05-27
489,Христофор Попов,365943028,1987-04-02,1991-02-05
490,Феврония Михайлова,383518342,1987-07-19,1991-08-15
491,Варлам Калачев,559762850,1996-09-21,1996-11-06
492,Прасковья Смирнова,035280828,1984-04-03,1992-09-22
493,Клавдия Михайлова,702042807,1994-12-03,1995-09-19
494,Алевтина Кузнецова,869616361,1981-01-11,1982-08-25
495,Клавдия Михайлова,553231078,1991-03-21,1994-12-09
496,Харитон Агапов,103803953,1996-01-07,1996-03-12
497,Клавдия Иванова,464367451,1995-12-21,1999-07-08
498,Митрофан Черный,825905752,1991-05-11,1994-05-18
499,Алевтина Соколова,696146016,1988-06-23,1998-07-09
500,Мирон Кузнецов,625720171,1988-05-10,1997-07-02
501,Ираида Калачева,760447747,1994-09-03,1998-09-21
502,Христофор Смирнов,831619773,1988-11-14,1992-06-04
503,Ульяна Васильева,947090523,1992-01-30,1998-06-21
504,Митрофан Минин,038384212,1989-01-29,1994-07-06
505,Пелагея Лыкова,906406662,1995-09-10,1997-09-27
506,Харитон Соколов,386299752,1992-03-06,1997-09-20
507,Харитон Елизаров,651232928,1988-01-25,1990-12-14
508,Евграф Смирнов,034377725,1985-07-25,1999-09-04
509,Василиса Васильева,738844371,1993-06-08,1993-06-15
510,Харитон Смирнов,722523585,1993-11-23,1999-02-20
511,Василиса Агапова,142304348,1990-08-24,1992-06-26
512,Василиса Иванова,844518409,1983-06-01,1991-09-13
513,Авдей Иванов,004017309,1990-03-29,1993-05-09
514,Алевтина Агапова,690849305,1996-09-10,1997-10-09
515,Феврония Попова,522097942,1992-07-06,1996-07-26
516,Варлам Черный,457207462,1993-05-13,1997-10-02
517,Прасковья Грибова,240384744,1981-02-03,1996-05-14
518,Евграф Попов,259814389,1996-04-28,1999-04-11
519,Алевтина Попова,474811785,1985-06-27,1991-11-19
520,Феврония Минина,376536769,1995-04-10,1996-09-20
521,Харитон Попов,651527646,1984-07-04,1985-02-24
522,Алевтина Петрова,025513482,1983-12-27,1991-07-27
523,Варлам Петров,992670736,1990-04-05,1995-03-31
524,Еремей Грибов,506425667,1981-12-22,1992-03-02
525,Варлам Михайлов,002815752,1985-09-10,1994-02-18
526,Митрофан Смирнов,018818841,1986-12-28,1999-09-15
527,Авдей Агапов,562352856,1984-04-10,1989-05-29
528,Агафья Минина,647064700,1985-06-24,1988-06-18
529,Ираида Смирнова,817353280,1985-04-10,1986-01-14
530,Мирон Михайлов,273756248,1989-10-17,1990-12-04
531,Авдей Минин,827643825,1995-08-14,1996-05-16
532,Варлам Смирнов,979035508,1996-11-17,1999-07-12
533,Еремей Смирнов,686680647,1996-03-05,1996-12-18
534,Василиса Елизарова,814950227,1993-12-19,1999-04-11
535,Митрофан Агапов,987110099,1982-01-22,1989-01-07
536,Феврония Кузнецова,592270626,1982-08-08,1997-02-14
537,Ираида Минина,366434980,1990-02-17,1996-12-17
538,Ульяна Лыкова,429574384,1983-03-18,1997-04-28
539,Евграф Агапов,315817856,1996-06-12,1998-09-25
540,Клавдия Васильева,393599932,1994-07-26,1997-08-29
541,Злата Черная,993260924,1986-07-13,1997-08-11
542,Варлам Минин,910205380,1990-01-30,1995-11-17
543,Добрыня Кузнецов,562650214,1994-01-04,1994-10-15
544,Авдей Агапов,913581368,1985-06-30,1989-11-08
545,Пелагея Иванова,364466518,1981-04-05,1996-11-29
546,Аристарх Михайлов,889141651,1996-01-10,1998-09-01
547,Варлам Смирнов,774502455,1996-01-25,1997-06-12
548,Митрофан Кузнецов,692040592,1992-10-06,1994-06-18
549,Аристарх Калачев,071423714,1995-11-29,1997-08-30
550,Еремей Васильев,804547456,1992-08-20,1993-10-02
551,Харитон Елизаров,110151133,1996-09-24,1998-04-12
552,Злата Елизарова,813722027,1986-10-28,1994-12-19
553,Алевтина Попова,044577966,1992-12-15,1999-07-14
554,Харитон Соколов,030684384,1984-04-27,1995-06-21
555,Еремей Васильев,185364238,1993-04-08,1993-04-30
556,Злата Черная,277764618,1985-08-02,1996-05-12
557,Евграф Смирнов,286681814,1981-02-19,1986-11-29
558,Алевтина Михайлова,861279103,1981-09-07,1984-12-04
559,Алевтина Калачева,936045976,1992-11-17,1996-07-20
560,Добрыня Попов,555806492,1994-03-18,1998-10-01
561,Митрофан Елизаров,852612607,1997-10-04,1998-10-13
562,Феврония Калачева,194170239,1987-05-09,1988-01-21
563,Мирон Михайлов,006470504,1987-03-12,1999-01-31
564,Евграф Кузнецов,244804994,1989-11-30,1998-12-22
565,Аристарх Черный,723174731,1982-11-02,1997-08-25
566,Агафья Иванова,016502705,1992-09-01,1994-04-18
567,Агафья Михайлова,671046770,1990-04-11,1998-01-18
568,Добрыня Петров,379802129,1981-01-25,1991-02-18
569,Агафья Калачева,441010738,1984-03-23,1999-03-27
570,Ульяна Черная,017748585,1994-08-09,1995-08-19
571,Ираида Петрова,670508030,1985-04-24,1990-03-13
572,Харитон Петров,503114696,1986-03-25,1993-03-12
573,Христофор Черный,576231490,1996-08-11,1998-09-01
574,Евграф Калачев,305393497,1986-12-23,1992-06-20
575,Клавдия Грибова,735876940,1995-03-15,1995-10-24
576,Ульяна Грибова,217467673,1995-02-06,1998-10-23
577,Ираида Иванова,262275680,1997-08-13,1998-06-10
578,Харитон Минин,651797330,1987-11-16,1992-03-11
579,Христофор Кузнецов,617031536,1988-08-04,1990-06-10
580,Василиса Иванова,948852582,1986-06-23,1988-01-02
581,Евграф Калачев,467001345,1981-01-08,1992-11-10
582,Ульяна Черная,874931848,1994-04-03,1999-08-15
583,Христофор Смирнов,881161514,1981-11-15,1990-03-08
584,Аристарх Михайлов,194455096,1996-11-26,1997-01-29
585,Ираида Смирнова,206797693,1989-08-02,1991-12-11
586,Аристарх Елизаров,459634596,1981-11-04,1991-04-12
587,Христофор Иванов,982529679,1983-11-27,1988-05-05
588,Ираида Кузнецова,877841726,1985-05-25,1997-12-21
589,Василиса Грибова,882517439,1987-07-14,1988-09-17
590,Прасковья Минина,394734213,1993-04-27,1999-03-15
591,Аристарх Васильев,861223740,1982-04-25,1992-05-20
592,Пелагея Лыкова,521220820,1981-05-25,1996-07-05
593,Еремей Петров,968466999,1995-10-30,1999-04-19
594,Пелагея Лыкова,791343128,1982-04-03,1987-02-17
595,Христофор Петров,626692019,1992-07-20,1998-08-16
596,Ульяна Калачева,590346989,1986-08-23,1988-03-11
597,Митрофан Агапов,107078988,1984-09-13,1990-12-20
598,Василиса Попова,135178042,1982-11-29,1985-06-15
599,Клавдия Михайлова,370385640,1990-03-26,1991-01-31
600,Феврония Грибова,985408768,1981-08-15,1982-02-15
601,Христофор Кузнецов,552318869,1982-03-02,1991-11-04
602,Ираида Минина,016747621,1996-03-01,1997-07-11
603,Харитон Попов,567674036,1990-03-25,1992-07-06
604,Варлам Кузнецов,285762482,1981-07-15,1989-08-07
605,Прасковья Михайлова,768580787,1990-03-05,1995-02-10
606,Добрыня Смирнов,765793295,1992-04-12,1996-09-13
607,Аристарх Петров,214927055,1988-11-20,1995-08-06
608,Добрыня Черный,277097711,1995-04-19,1999-06-16
609,Ираида Михайлова,427938201,1996-12-26,1998-01-02
610,Митрофан Калачев,238867958,1982-05-12,1992-06-01
611,Христофор Иванов,778388483,1981-05-13,1985-07-22
612,Пелагея Васильева,088961987,1993-10-19,1999-03-01
613,Алевтина Елизарова,334821254,1989-07-24,1990-06-15
614,Злата Михайлова,884747354,1994-08-27,1996-02-20
615,Митрофан Соколов,977385849,1993-03-01,1994-09-23
616,Харитон Попов,063423417,1987-02-19,1997-01-10
617,Авдей Минин,509970614,1984-09-08,1995-09-05
618,Харитон Минин,678590382,1983-02-12,1991-02-10
619,Митрофан Михайлов,966213245,1983-04-14,1995-11-17
620,Алевтина Попова,022572631,1983-10-05,1987-07-22
621,Авдей Елизаров,429453402,1997-09-22,1997-10-08
622,Ульяна Калачева,693224881,1985-10-28,1997-02-11
623,Злата Калачева,735554327,1989-05-30,1995-01-03
624,Прасковья Васильева,364766408,1995-07-18,1996-03-28
625,Авдей Елизаров,575725701,1989-07-25,1989-12-26
626,Алевтина Калачева,401102031,1985-11-12,1992-01-08
627,Пелагея Елизарова,646996165,1991-04-17,1998-01-04
628,Феврония Смирнова,534055831,1994-10-05,1997-02-02
629,Прасковья Васильева,180090725,1997-04-04,1997-08-23
630,Еремей Смирнов,518582196,1991-06-05,1993-03-15
631,Харитон Кузнецов,221860801,1992-11-05,1998-03-14
632,Феврония Иванова,041475883,1988-01-18,1990-11-24
633,Злата Петрова,866312170,1987-12-16,1990-06-07
634,Ульяна Калачева,612695089,1995-03-21,1998-03-01
635,Аристарх Калачев,875635620,1988-05-02,1993-09-20
636,Василиса Лыкова,905432390,1982-12-05,1992-11-09
637,Аристарх Васильев,527159799,1992-01-16,1998-09-19
638,Христофор Михайлов,165187047,1984-09-18,1991-07-10
639,Феврония Черная,804195705,1988-02-02,1996-04-16
640,Митрофан Васильев,506917768,1990-04-15,1991-05-30
641,Клавдия Васильева,636645843,1996-07-12,1998-11-18
642,Агафья Минина,871657473,1996-03-15,1998-10-09
643,Авдей Попов,738497019,1993-11-12,1999-01-02
644,Авдей Петров,076510811,1993-05-17,1996-08-16
645,Алевтина Иванова,486716552,1984-01-16,1998-05-29
646,Евграф Черный,718342498,1982-12-28,1985-12-19
647,Еремей Грибов,210185900,1991-01-27,1993-03-19
648,Клавдия Смирнова,231653343,1990-09-25,1994-05-13
649,Авдей Агапов,538126911,1982-04-25,1990-01-06
650,Алевтина Михайлова,458226122,1982-12-29,1986-05-13
651,Евграф Елизаров,119265891,1986-03-16,1991-01-24
652,Еремей Грибов,312170942,1991-11-29,1992-11-21
653,Василиса Васильева,023840783,1984-10-08,1995-10-03
654,Алевтина Минина,477761280,1993-05-13,1997-04-27
655,Василиса Кузнецова,813805916,1997-04-08,1998-05-16
656,Алевтина Лыкова,219860225,1986-08-09,1991-04-19
657,Евграф Соколов,741206554,1984-07-14,1988-12-11
658,Мирон Иванов,469727343,1981-05-07,1996-01-17
659,Аристарх Калачев,626017832,1982-04-03,1997-02-28
660,Ульяна Калачева,306807586,1984-03-09,1987-01-16
661,Агафья Кузнецова,273850754,1995-11-25,1998-11-30
662,Добрыня Иванов,453821177,1988-07-03,1997-02-03
663,Ираида Васильева,404695497,1986-07-15,1991-10-08
664,Феврония Черная,176345956,1983-06-05,1996-10-29
665,Харитон Попов,004556907,1995-06-15,1999-07-23
666,Клавдия Попова,078123397,1982-10-29,1994-11-20
667,Харитон Васильев,832313395,1987-04-19,1987-08-25
668,Харитон Михайлов,389031787,1981-09-22,1993-08-11
669,Пелагея Агапова,988046817,1984-07-17,1990-04-08
670,Алевтина Иванова,012103037,1994-02-07,1995-08-18
671,Мирон Попов,591423080,1995-09-23,1998-01-27
672,Феврония Грибова,289396473,1981-03-03,1981-05-03
673,Христофор Лыков,006228643,1992-05-19,1995-01-22
674,Христофор Иванов,133547797,1994-07-27,1996-07-01
675,Еремей Елизаров,064224614,1983-12-09,1990-08-02
676,Феврония Елизарова,137468938,1985-04-23,1992-08-27
677,Мирон Лыков,444103412,1983-11-06,1995-01-24
678,Пелагея Черная,743544381,1984-03-09,1984-03-28
679,Клавдия Минина,141873816,1994-01-12,1994-06-19
680,Харитон Смирнов,542431531,1985-12-29,1992-06-19
681,Аристарх Попов,418564431,1987-12-08,1994-05-07
682,Ираида Иванова,552745550,1993-11-27,1996-12-19
683,Клавдия Кузнецова,490673923,1984-09-23,1994-12-24
684,Авдей Грибов,035564897,1992-10-30,1998-04-23
685,Еремей Кузнецов,399853766,1996-02-15,1996-02-19
686,Феврония Петрова,665144640,1995-09-01,1995-12-02
687,Добрыня Агапов,741741793,1983-09-22,1989-01-26
688,Алевтина Михайлова,519141323,1992-07-17,1996-01-07
689,Мирон Петров,079825988,1997-02-18,1999-10-11
690,Клавдия Лыкова,311607969,1996-08-20,1999-05-22
691,Прасковья Кузнецова,535044972,1984-11-19,1987-07-04
692,Варлам Попов,522002825,1989-05-15,1992-11-10
693,Ираида Грибова,504122866,1987-10-23,1993-01-04
694,Пелагея Минина,667388770,1988-12-29,1999-05-10
695,Христофор Попов,143634370,1991-06-26,1992-09-13
696,Добрыня Попов,148361161,1992-02-17,1996-01-26
697,Прасковья Елизарова,242167037,1981-03-31,1995-05-14
698,Ираида Иванова,092026988,1982-11-23,1983-06-23
699,Клавдия Попова,346643765,1989-01-30,1990-08-09
700,Варлам Елизаров,107446443,1984-03-19,1990-03-20
701,Мирон Иванов,680009011,1984-09-27,1994-06-23
702,Евграф Васильев,926511231,1992-08-06,1997-09-30
703,Харитон Михайлов,309392810,1992-04-16,1998-05-19
704,Добрыня Кузнецов,087945005,1987-01-25,1990-08-30
705,Еремей Елизаров,113886532,1981-06-10,1993-07-20
706,Христофор Минин,478934712,1993-07-25,1995-06-07
707,Варлам Минин,890912347,1994-11-23,1995-05-21
708,Христофор Петров,470359595,1981-03-10,1995-06-14
709,Аристарх Агапов,332531713,1994-02-03,1994-03-18
710,Клавдия Петрова,697003953,1988-04-01,1992-06-28
711,Феврония Агапова,621604234,1990-05-01,1992-08-14
712,Авдей Михайлов,086355585,1985-06-26,1998-07-31
713,Мирон Смирнов,136867151,1994-04-05,1997-01-09
714,Ираида Иванова,172081189,1992-08-20,1993-03-22
715,Василиса Грибова,660570122,1990-12-21,1998-03-07
716,Злата Соколова,569340503,1984-06-30,1993-11-16
717,Ираида Грибова,087855706,1992-06-15,1997-12-25
718,Феврония Васильева,530102535,1987-05-15,1998-10-22
719,Пелагея Калачева,498232332,1988-11-30,1994-01-18
720,Прасковья Грибова,005665488,1990-11-30,1994-07-23
721,Агафья Елизарова,258548876,1993-10-07,1995-07-12
722,Алевтина Кузнецова,917245499,1982-09-24,1986-09-10
723,Митрофан Елизаров,661002125,1988-04-15,1999-07-27
724,Ираида Калачева,887777522,1991-09-08,1994-01-24
725,Злата Соколова,420357014,1981-08-29,1991-08-31
726,Клавдия Калачева,602408450,1986-04-01,1999-01-29
727,Аристарх Елизаров,153673358,1989-09-09,1996-08-02
728,Клавдия Калачева,167007805,1990-11-17,1996-07-05
729,Прасковья Петрова,604307357,1987-09-18,1994-10-02
730,Еремей Черный,983052050,1987-08-18,1987-09-02
731,Феврония Попова,023467324,1988-06-21,1989-01-27
732,Евграф Петров,070821712,1982-08-04,1995-06-20
733,Прасковья Петрова,446431573,1981-03-15,1985-08-08
734,Мирон Минин,399860468,1993-11-17,1994-11-24
735,Клавдия Иванова,058459901,1985-01-16,1997-01-19
736,Пелагея Иванова,858504437,1985-09-13,1999-04-27
737,Еремей Кузнецов,605854999,1986-03-19,1994-02-05
738,Злата Соколова,583677644,1996-09-30,1999-01-10
739,Харитон Грибов,532976063,1992-06-24,1995-02-12
740,Ираида Попова,504838487,1983-07-14,1995-01-21
741,Пелагея Черная,881795137,1997-09-05,1999-08-22
742,Злата Елизарова,082999557,1982-03-25,1995-09-05
743,Мирон Минин,475283065,1989-08-06,1993-07-22
744,Феврония Грибова,225441428,1987-07-09,1987-12-18
745,Агафья Минина,560798042,1994-04-03,1996-07-05
746,Агафья Кузнецова,622264915,1989-12-30,1997-05-18
747,Клавдия Лыкова,336038244,1995-06-09,1997-06-13
748,Алевтина Соколова,078612729,1987-03-18,1994-05-20
749,Прасковья Смирнова,724374970,1982-03-02,1990-02-08
750,Мирон Черный,303337289,1981-08-30,1991-01-12
751,Мирон Елизаров,082197598,1984-02-07,1993-10-19
752,Злата Агапова,287215629,1982-12-13,1987-10-25
753,Христофор Соколов,945362695,1986-05-11,1997-11-27
754,Клавдия Иванова,447325040,1995-11-15,1998-10-22
755,Мирон Грибов,524369645,1984-06-16,1997-10-08
756,Алевтина Калачева,524146458,1990-02-21,1994-09-07
757,Агафья Агапова,983232700,1986-02-23,1991-06-01
758,Авдей Грибов,929843561,1992-11-20,1993-04-13
759,Варлам Соколов,379557082,1984-07-26,1996-11-19
760,Аристарх Елизаров,742835657,1989-03-10,1997-12-13
761,Еремей Попов,018832523,1993-05-23,1996-06-07
762,Клавдия Черная,063154260,1988-12-03,1999-06-30
763,Варлам Смирнов,702024051,1990-05-08,1993-12-05
764,Феврония Кузнецова,990646817,1984-12-23,1985-11-28
765,Феврония Грибова,455412703,1989-06-17,1999-04-28
766,Варлам Иванов,620277608,1981-04-13,1997-02-09
767,Василиса Попова,864658492,1993-05-25,1995-09-03
768,Варлам Петров,365556082,1989-10-19,1992-09-20
769,Митрофан Попов,013159390,1997-05-01,1998-01-08
770,Клавдия Черная,147538504,1992-05-11,1999-01-07
771,Ульяна Кузнецова,265938877,1989-03-20,1995-01-29
772,Агафья Елизарова,241808095,1983-04-30,1989-05-16
773,Авдей Лыков,098452468,1981-12-18,1993-05-16
774,Алевтина Кузнецова,716301559,1996-11-04,1999-01-28
775,Злата Васильева,419491396,1989-11-18,1992-04-29
776,Василиса Черная,678291211,1991-02-10,1991-12-23
777,Феврония Кузнецова,616949741,1992-08-21,1998-12-12
778,Авдей Минин,815739776,1989-06-25,1995-05-23
779,Клавдия Грибова,019705413,1983-08-29,1994-02-17
780,Злата Лыкова,699988487,1992-01-28,1994-02-09
